index,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
17007,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,NGO,1,22
631,city_94,0.698,Male,Has relevent experience,,High School,,3,,,1,22
669,city_114,0.926,,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,1,88
8949,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,14,,,4,91
2341,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,1,5000-9999,Pvt Ltd,1,92
10586,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,,,1,18
5241,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,7
2523,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,276
2705,city_23,0.899,Male,Has relevent experience,Full time course,Graduate,STEM,12,10000+,Pvt Ltd,2,69
3074,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,11,10000+,,1,16
1526,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,39
12441,city_75,0.939,Male,Has relevent experience,Part time course,Graduate,STEM,13,500-999,Pvt Ltd,1,22
9100,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,<10,Pvt Ltd,4,40
11149,city_7,0.647,Male,Has relevent experience,Full time course,Masters,STEM,4,,,1,13
17676,city_65,0.802,Male,No relevent experience,Full time course,Graduate,STEM,4,,,never,134
16532,city_71,0.884,,No relevent experience,no_enrollment,Phd,STEM,>20,,Public Sector,3,28
10490,city_77,0.83,,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,2,278
49,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,21
16940,city_16,0.91,Male,Has relevent experience,Part time course,Graduate,STEM,9,10000+,Pvt Ltd,2,51
8998,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,1000-4999,NGO,>4,11
11490,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,7,,,1,56
11531,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,29
11880,city_19,0.682,,Has relevent experience,no_enrollment,Graduate,Other,6,50-99,Pvt Ltd,1,202
12001,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,1,16
13827,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,8,,,>4,20
160,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125
6977,city_136,0.897,Male,No relevent experience,Part time course,Masters,STEM,3,50-99,,never,104
10722,city_103,0.92,Male,No relevent experience,Full time course,Masters,STEM,19,,Public Sector,>4,21
14346,city_21,0.624,Male,No relevent experience,no_enrollment,,,1,,,never,61
12727,city_114,0.926,Male,No relevent experience,Full time course,High School,,2,,,never,14
15134,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Early Stage Startup,1,72
9205,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,7,,,>4,135
18918,city_103,0.92,,No relevent experience,no_enrollment,Masters,STEM,7,,,1,156
11702,city_21,0.624,,No relevent experience,Part time course,Graduate,Other,5,10/49,Funded Startup,3,37
